# File generated by CMD 3.2 (http://stev.oapd.inaf.it/cmd) on Wed May 29 16:04:51 CEST 2019
# isochrones based on PARSEC release v1.2S +  COLIBRI S_35
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system: Gaia's DR2 G, G_BP and G_RP (Vegamags, Gaia passbands from Maiz-Apellaniz and Weiler 2018)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini logAge Mini int_IMF  Mass   logL    logTe  logg  label   McoreTP C_O  period0 period1 pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Gmag    G_BPbrmag  G_BPftmag  G_RPmag
0.0152 7.750 0.4339773357 2.1628885269    0.434 -1.501  3.5193  4.606    0  0.000  0.545     0.00     0.00 -1 -3.03e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 8.522 9.428 10.804 10.850 8.307
0.0152 7.750 0.4500000477 2.1822810173    0.450 -1.472  3.5222  4.603    0  0.000  0.545     0.00     0.00 -1 -3.19e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 8.449 9.335 10.689 10.734 8.222
0.0152 7.750 0.5000000000 2.2374541759    0.500 -1.381  3.5323  4.600    0  0.000  0.545     0.00     0.00 -1 -3.75e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 8.223 9.038 10.316 10.362 7.953
0.0152 7.750 0.5403075814 2.2754678726    0.540 -1.293  3.5424  4.586    0  0.000  0.545     0.00     0.00 -1 -4.48e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 8.004 8.753 9.963 10.009 7.697
0.0152 7.750 0.5500000119 2.2836582661    0.550 -1.272  3.5451  4.583    0  0.000  0.545     0.00     0.00 -1 -4.67e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.718e-03 -1.000 1.527e-02 7.950 8.683 9.875 9.921 7.634
0.0152 7.750 0.5657852292 2.2963092327    0.566 -1.239  3.5499  4.581    0  0.000  0.545     0.00     0.00 -1 -4.97e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.718e-03 -1.000 1.527e-02 7.868 8.569 9.728 9.775 7.534
0.0152 7.750 0.5736631751 2.3023242950    0.573 -1.221  3.5526  4.580    0  0.000  0.545     0.00     0.00 -1 -5.15e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.718e-03 -1.000 1.527e-02 7.822 8.506 9.648 9.694 7.478
0.0152 7.750 0.6000000238 2.3211214542    0.600 -1.146  3.5636  4.568    0  0.000  0.545     0.00     0.00 -1 -6.05e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.718e-03 -1.000 1.527e-02 7.634 8.248 9.320 9.367 7.252
0.0152 7.750 0.6270291209 2.3385367393    0.627 -1.060  3.5785  4.561    0  0.000  0.545     0.00     0.00 -1 -7.24e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.407e-04 6.718e-03 -1.000 1.527e-02 7.420 7.942 8.927 8.975 6.990
0.0152 7.750 0.6499999762 2.3520355225    0.650 -0.976  3.5942  4.556    0  0.000  0.545     0.00     0.00 -1 -8.67e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.407e-04 6.718e-03 -1.000 1.527e-02 7.210 7.647 8.552 8.599 6.737
0.0152 7.750 0.6668941975 2.3612837791    0.667 -0.907  3.6089  4.556    0  0.000  0.545     0.00     0.00 -1    -1e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.407e-04 6.718e-03 -1.000 1.527e-02 7.037 7.399 8.236 8.284 6.528
0.0152 7.750 0.6835672259 2.3698973656    0.684 -0.838  3.6242  4.559    0  0.000  0.545     0.00     0.00 -1 -1.16e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.407e-04 6.718e-03 -1.000 1.527e-02 6.864 7.150 7.919 7.967 6.320
0.0152 7.750 0.7000000477 2.3779268265    0.700 -0.770  3.6396  4.563    0  0.000  0.545     0.00     0.00 -1 -1.33e-14      0.00 7.092e-01 2.755e-01 2.745e-03 7.407e-04 6.718e-03 -1.000 1.527e-02 6.695 6.903 7.600 7.649 6.118
0.0152 7.750 0.7007915378 2.3783025742    0.701 -0.766  3.6407  4.565    0  0.000  0.545     0.00     0.00 -1 -1.34e-14      0.00 7.092e-01 2.755e-01 2.745e-03 7.407e-04 6.718e-03 -1.000 1.527e-02 6.685 6.887 7.580 7.628 6.106
0.0152 7.750 0.7115836143 2.3833312988    0.712 -0.716  3.6551  4.579    0  0.000  0.543     0.00     0.00 -1 -1.47e-14      0.00 7.092e-01 2.755e-01 2.737e-03 7.405e-04 6.718e-03 -1.000 1.527e-02 6.561 6.692 7.325 7.373 5.952
0.0152 7.750 0.7223591805 2.3881802559    0.723 -0.671  3.6680  4.592    0  0.000  0.542     0.00     0.00 -1  -1.6e-14      0.00 7.092e-01 2.755e-01 2.729e-03 7.402e-04 6.718e-03 -1.000 1.527e-02 6.448 6.522 7.107 7.153 5.818
