RA_ICRS,DE_ICRS,Source,GLON,GLAT,plx,pmRA_1,pmDE_1,o_Gmag,Gmag,BP-RP,PMemb,Cluster,_RA_icrs,_DE_icrs,RAhour,DEdeg,Bmag,Vmag,Jmag,Hmag,Ksmag,e_Jmag,e_Hmag,e_Ksmag,pmRA_2,pmDE_2,e_pm,RV,e_RV,Qflg,Rflg,Bflg,2MASS,ASCC,SpType,Rcl,Ps,Pkin,PJKs,PJH,MWSC,Separation
0.56234028245,-30.6703621242,2314757235312381312,11.8063478879,-78.6742045882,4.3731,18.548000000000002,2.7420000000000004,237,17.995865,3.019899,1.0,Blanco_1,0.562247435170047,-30.6703739300003,0.03748093,-30.670364,20.1,17.7,14.914,14.322,14.093,0.037,0.057,0.074,13.47,-2.7,4.09,999.99,-9.99,AAA,222,111,145553981,0,,0.7259,1,38.58,96.39,97.9,7,0.39123977854547
0.43405558372,-30.51853304382,2314774518260772096,12.6941691771,-78.6059016229,4.394,17.989,2.5800000000000005,197,17.760094,2.851759,1.0,Blanco_1,0.433965675653363,-30.5185441521225,0.028931,-30.518518,19.5,17.5,14.68,14.152,13.93,0.035,0.052,0.063,23.6,2.65,5.3,999.99,-9.99,AAA,222,111,145553754,0,,0.6486,1,87.29,84.97,87.49,7,0.2858043810255693
0.50256631306,-30.76430577081,2314754795770961152,11.4155117399,-78.5997967565,4.1939,19.129,2.5570000000000004,230,17.549488,2.799072,1.0,Blanco_1,0.502470464088789,-30.7643167800803,0.03349607,-30.764345,19.4,17.3,14.576,14.008,13.737,0.039,0.043,0.05,16.69,-1.7,4.09,999.99,-9.99,AAA,222,111,145554119,0,,0.8325,1,68.86,88.75,100.0,7,0.4126353226700222
0.38104521208,-30.64838829993,2314771219725893120,12.1175206527,-78.529213593,4.2591,19.642000000000003,2.224,200,15.515203,2.323951,1.0,Blanco_1,0.380946910825789,-30.6483978754486,0.02539754,-30.6484,17.2,15.4,12.92,12.239,12.088,0.03,0.03,0.03,22.42,5.92,4.09,999.99,-9.99,AAA,222,111,145551610,0,,0.7808,1,73.51,100.0,100.0,7,0.25744485312363996
0.35208980985,-30.64952541771,2314771151006415872,12.1438437271,-78.504833958,4.2409,18.702,2.1210000000000004,254,10.404659,0.57531,1.0,Blanco_1,0.351996211862626,-30.6495345497598,0.02346654,-30.649542,10.906,10.512,9.697,9.45,9.484,0.03,0.03,0.03,14.39,1.85,1.7,999.99,-9.99,AAA,222,111,145551607,1713889,"F 5 V               ",0.796,1,8.51,100.0,100.0,7,0.29006945777489285
0.22331416818,-31.16515531158,2314718821124895488,9.8300579349,-78.2578747391,4.2317,18.438000000000002,2.6630000000000003,167,16.871744,2.64038,1.0,Blanco_1,0.223221392933995,-31.1651667772412,0.01488046,-31.165167,18.4,16.6,14.036,13.395,13.157,0.03,0.03,0.034,18.25,-3.56,3.9,999.99,-9.99,AAA,222,111,1005235536,0,,1.297,1,55.12,42.03,88.32,7,0.33305909377668236
0.07392172713,-30.74397111964,2314766924758635520,11.9922829258,-78.2494905424,4.0224,18.232000000000003,2.861,230,17.836407,2.888708,1.0,Blanco_1,0.0738303920125715,-30.7439834378025,0.00491954,-30.744013,19.9,17.5,14.793,14.188,13.772,0.039,0.05,0.064,18.63,0.31,4.09,999.99,-9.99,AAA,222,111,145542407,0,,1.0215,1,92.73,1.7,96.94,7,0.42537266689219794
-0.18463822913,-30.50015051772,2314832689297893120,13.4086080494,-78.0924274748,4.3438,19.086000000000002,2.369,228,14.27006,1.589048,1.0,Blanco_1,359.815266398089,-30.5001607175464,-0.01231572,-30.500153,15.7,13.6,12.413,11.754,11.644,0.03,0.03,0.03,18.63,4.01,4.0,999.99,-9.99,AAA,222,111,628495518,0,,1.0507,1,93.71,100.0,86.02,7,0.30275780991823614
-0.89560208467,-31.0946590362,2314693807235242752,11.3913620833,-77.3558030291,4.1828,19.014000000000003,2.62,193,17.2366,2.736231,1.0,Blanco_1,359.104302312869,-31.0946703167203,-0.05971239,-31.094654,18.9,16.8,14.342,13.676,13.517,0.035,0.032,0.039,29.54,5.69,4.0,999.99,-9.99,AAA,222,111,529076899,0,,1.8841,1,18.42,97.62,39.79,7,0.25884602051009814
-0.17355250863,-30.17126187577,2314847253531620864,14.9602524625,-78.1727172392,4.1576,18.254,2.088,196,12.422344,0.978927,1.0,Blanco_1,359.826356581984,-30.1712708657387,-0.01157698,-30.171242,12.5,12.0,11.201,10.82,10.772,0.03,0.03,0.03,9.25,1.85,3.9,999.99,-9.99,AAA,222,111,628494863,0,,0.9319,1,16.51,98.95,90.66,7,0.3262059004482906
